player_id,Year,Pos,Age,Tm,G,TS%,FTr,OWS,DWS,WS,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,AST,PF,PTS
5,1954,SF,26,NYK,52,0.375,0.154,-1.6,0.7,-1,175,525,0.333,175,525,0.333,0.333,70,81,0.864,77,128,420
6,1950,F-G,24,WAT,62,0.461,0.625,4.4,-0.7,3.8,208,558,0.373,208,558,0.373,0.373,240,349,0.688,137,255,656
6,1952,SG,26,MLH,66,0.399,0.524,-0.2,1.7,1.5,200,668,0.299,200,668,0.299,0.299,256,350,0.731,177,271,656
6,1953,SF,27,TOT,67,0.435,0.489,0.9,1.3,2.2,153,427,0.358,153,427,0.358,0.358,145,209,0.694,79,227,451
6,1953,F-G,27,MLH,27,0.453,0.489,0.8,0.8,1.7,87,219,0.397,87,219,0.397,0.397,67,107,0.626,35,102,241
6,1953,F-G,27,BLB,23,0.431,0.608,0.2,0.1,0.3,30,97,0.309,30,97,0.309,0.309,46,59,0.78,23,68,106
6,1953,SF,27,FTW,17,0.4,0.387,-0.1,0.3,0.2,36,111,0.324,36,111,0.324,0.324,32,43,0.744,21,57,104
7,1950,C,27,WAT,61,0.479,0.375,6,-0.7,5.3,288,698,0.413,288,698,0.413,0.413,203,262,0.775,149,229,779
7,1951,C,28,TOT,48,0.429,0.298,0.8,0.8,1.7,126,336,0.375,126,336,0.375,0.375,74,100,0.74,60,197,326
7,1951,C,28,BOS,32,0.436,0.31,0.6,0.4,1,78,203,0.384,78,203,0.384,0.384,45,63,0.714,40,130,201
7,1951,C,28,TRI,16,0.419,0.278,0.2,0.5,0.7,48,133,0.361,48,133,0.361,0.361,29,37,0.784,20,67,125
8,1950,G,21,CHS,46,0.289,0.284,-1,0.7,-0.3,36,134,0.269,36,134,0.269,0.269,15,38,0.395,36,51,87
9,1950,G-F,22,NYK,67,0.434,0.365,5.2,1.9,7.2,373,1024,0.364,373,1024,0.364,0.364,285,374,0.762,247,188,1031
9,1953,SG,25,NYK,70,0.497,0.497,6.5,2.5,9,323,807,0.4,323,807,0.4,0.4,331,401,0.825,243,287,977
9,1954,SG,26,NYK,72,0.495,0.485,7.2,1.3,8.6,354,884,0.4,354,884,0.4,0.4,354,429,0.825,209,259,1062
9,1955,SG,27,NYK,71,0.454,0.331,2.8,1.9,4.7,400,1032,0.388,400,1032,0.388,0.388,274,342,0.801,274,208,1074
9,1956,SG,28,NYK,72,0.451,0.359,2.4,1.2,3.6,396,1064,0.372,396,1064,0.372,0.372,320,382,0.838,298,215,1112
9,1957,PG,29,NYK,72,0.444,0.305,2.3,1.4,3.7,378,993,0.381,378,993,0.381,0.381,245,303,0.809,256,195,1001
9,1958,PG,30,NYK,71,0.495,0.371,5.9,1.7,7.6,426,1018,0.418,426,1018,0.418,0.418,321,378,0.849,393,183,1173
9,1959,PG,31,NYK,72,0.483,0.319,3.2,1.3,4.5,287,684,0.42,287,684,0.42,0.42,180,218,0.826,349,178,754
9,1960,PG,32,NYK,54,0.481,0.234,2.3,0.6,3,285,659,0.432,285,659,0.432,0.432,129,154,0.838,270,127,699
9,1961,PG,33,NYK,15,0.499,0.177,0.4,0.1,0.4,37,79,0.468,37,79,0.468,0.468,11,14,0.786,48,29,85
9,1962,PG,34,BOS,48,0.402,0.13,-0.4,0.9,0.5,78,207,0.377,78,207,0.377,0.377,20,27,0.741,71,49,176
10,1950,G,26,AND,64,0.415,0.422,3.6,5.6,9.2,368,1156,0.318,368,1156,0.318,0.318,402,488,0.824,189,192,1138
10,1951,G,27,TRI,68,0.424,0.451,2.9,2.7,5.6,363,1127,0.322,363,1127,0.322,0.322,418,508,0.823,266,215,1144
10,1952,SG,28,FTW,66,0.452,0.445,4.3,1.8,6.1,342,972,0.352,342,972,0.352,0.352,367,433,0.848,233,220,1051
10,1953,SG,29,FTW,68,0.438,0.425,1.6,1.4,3,245,699,0.351,245,699,0.351,0.351,236,297,0.795,142,205,726
10,1954,SG,30,FTW,64,0.464,0.517,2,0.8,2.7,132,352,0.375,132,352,0.375,0.375,137,182,0.753,92,100,401
10,1955,SG,31,FTW,71,0.47,0.409,2.5,1.2,3.6,237,623,0.38,237,623,0.38,0.38,217,255,0.851,142,133,691
10,1956,PG,32,FTW,37,0.378,0.335,-0.8,0.6,-0.2,78,263,0.297,78,263,0.297,0.297,72,88,0.818,74,62,228
11,1950,F-G,29,ROC,7,0.592,0.565,0.5,0.1,0.5,11,23,0.478,11,23,0.478,0.478,12,13,0.923,1,7,34
12,1950,F,26,DNN,62,0.414,0.33,2.1,-0.9,1.2,276,764,0.361,276,764,0.361,0.361,172,252,0.683,101,269,724
13,1950,PF,24,BLB,66,0.388,0.403,0.7,2,2.7,198,652,0.304,198,652,0.304,0.304,199,263,0.757,146,259,595
13,1951,PF,25,BLB,64,0.441,0.481,2.1,1.9,4,165,464,0.356,165,464,0.356,0.356,166,223,0.744,135,203,496
13,1952,PF,26,PHW,63,0.455,0.371,1.1,0.4,1.5,97,240,0.404,97,240,0.404,0.404,60,89,0.674,91,196,254
14,1950,F-G,26,BLB,53,0.362,0.312,-0.5,0.9,0.3,120,397,0.302,120,397,0.302,0.302,87,124,0.702,88,76,327
14,1951,F-G,27,TOT,47,0.357,0.315,-0.8,0.6,-0.2,81,267,0.303,81,267,0.303,0.303,55,84,0.655,69,81,217
14,1951,F-G,27,BLB,16,0.401,0.28,0,0.2,0.2,35,100,0.35,35,100,0.35,0.35,20,28,0.714,21,28,90
14,1951,F-G,27,WSC,12,0.26,0.415,-0.7,0.1,-0.6,13,65,0.2,13,65,0.2,0.2,14,27,0.519,16,20,40
14,1951,F-G,27,TRI,19,0.379,0.284,-0.1,0.3,0.2,33,102,0.324,33,102,0.324,0.324,21,29,0.724,32,33,87
15,1950,SG,22,ROC,62,0.439,0.37,3,1.5,4.5,207,549,0.377,207,549,0.377,0.377,146,203,0.719,115,100,560
15,1951,SG,23,ROC,66,0.421,0.451,1.2,1,2.2,175,506,0.346,175,506,0.346,0.346,161,228,0.706,99,87,511
15,1952,SG,24,BLB,55,0.391,0.447,-0.4,0.8,0.4,129,409,0.315,129,409,0.315,0.315,125,183,0.683,117,84,383
15,1953,SF,25,TOT,62,0.431,0.547,1.2,2.7,3.9,180,534,0.337,180,534,0.337,0.337,211,292,0.723,156,136,571
15,1953,F-G,25,SYR,13,0.428,0.818,0.1,0.2,0.3,16,55,0.291,16,55,0.291,0.291,32,45,0.711,15,20,64
15,1953,SF,25,MLH,49,0.431,0.516,1.1,2.4,3.5,164,479,0.342,164,479,0.342,0.342,179,247,0.725,141,116,507
15,1954,SF,26,MLH,72,0.441,0.536,2.2,1.9,4.1,190,545,0.349,190,545,0.349,0.349,214,292,0.733,189,151,594
15,1955,SG,27,MLH,69,0.389,0.492,-0.9,2.3,1.4,144,480,0.3,144,480,0.3,0.3,166,236,0.703,235,181,454
16,1950,G-F,30,MNL,57,0.402,0.328,0.7,1.9,2.6,99,290,0.341,99,290,0.341,0.341,69,95,0.726,76,126,267
16,1951,G-F,31,BLB,9,0.396,0.348,0,0.1,0.2,17,46,0.37,17,46,0.37,0.37,8,16,0.5,19,23,42
17,1950,F,24,SYR,49,0.385,0.313,0.1,0.8,0.9,61,179,0.341,61,179,0.341,0.341,35,56,0.625,37,52,157
17,1951,F,25,SYR,14,0.202,0.373,-0.8,0.1,-0.7,6,51,0.118,6,51,0.118,0.118,12,19,0.632,12,29,24
18,1950,SF,28,AND,64,0.372,0.288,-0.5,4.9,4.4,283,898,0.315,283,898,0.315,0.315,186,259,0.718,160,190,752
18,1951,SF,29,PHW,65,0.391,0.353,-0.3,3.1,2.8,202,631,0.32,202,631,0.32,0.32,166,223,0.744,110,156,570
18,1952,SF,30,FTW,57,0.379,0.404,-1,0.9,0,120,389,0.308,120,389,0.308,0.308,107,157,0.682,76,125,347
19,1950,PF,25,ROC,68,0.412,0.183,1.9,2.5,4.3,250,663,0.377,250,663,0.377,0.377,90,121,0.744,153,223,590
19,1951,PF,26,ROC,67,0.463,0.23,4.3,2.2,6.5,315,749,0.421,315,749,0.421,0.421,134,172,0.779,197,193,764
19,1952,PF,27,ROC,66,0.451,0.228,2.7,2.3,5,308,742,0.415,308,742,0.415,0.415,120,169,0.71,208,218,736
19,1953,PF,28,ROC,70,0.454,0.278,2.8,3.9,6.7,314,748,0.42,314,748,0.42,0.42,135,208,0.649,231,245,763
19,1954,PF,29,ROC,71,0.432,0.254,1.4,4.4,5.8,289,714,0.405,289,714,0.405,0.405,108,181,0.597,158,201,686
19,1955,PF,30,ROC,72,0.488,0.211,4.3,1.9,6.2,400,866,0.462,400,866,0.462,0.462,124,183,0.678,232,201,924
19,1956,PF,31,TOT,75,0.453,0.263,2.2,4.1,6.4,390,946,0.412,390,946,0.412,0.412,177,249,0.711,294,242,957
19,1956,PF,31,ROC,34,0.454,0.264,1.1,2.3,3.4,195,473,0.412,195,473,0.412,0.412,89,125,0.712,147,121,479
19,1956,PF,31,STL,41,0.453,0.262,1.1,1.9,3,195,473,0.412,195,473,0.412,0.412,88,124,0.71,147,121,478
19,1957,PF,32,STL,72,0.446,0.208,1.7,2.4,4.1,316,775,0.408,316,775,0.408,0.408,123,161,0.764,159,235,755
19,1958,PF,33,STL,72,0.442,0.234,1,1.6,2.6,231,560,0.413,231,560,0.413,0.413,84,131,0.641,117,169,546
20,1950,F-C,25,DNN,54,0.343,0.485,-1,-0.5,-1.5,97,332,0.292,97,332,0.292,0.292,82,161,0.509,65,184,276
21,1950,PF,25,DNN,53,0.369,0.377,-0.9,-0.8,-1.7,245,840,0.292,245,840,0.292,0.292,233,317,0.735,85,223,723
21,1952,PF,27,TOT,38,0.427,0.52,0.6,0.6,1.2,98,279,0.351,98,279,0.351,0.351,97,145,0.669,57,132,293
21,1952,PF,27,INO,6,0.589,1.2,0.1,0,0.1,2,5,0.4,2,5,0.4,0.4,5,6,0.833,0,6,9
21,1952,PF,27,MLH,32,0.424,0.507,0.5,0.6,1.1,96,274,0.35,96,274,0.35,0.35,92,139,0.662,57,126,284
21,1953,PF,28,MLH,61,0.449,0.665,1.1,1,2.2,100,284,0.352,100,284,0.352,0.352,130,189,0.688,63,199,330
22,1950,G,26,PHW,64,0.363,0.176,-0.6,2.7,2.1,185,574,0.322,185,574,0.322,0.322,79,101,0.782,148,139,449
23,1950,G,27,ROC,66,0.579,1.026,5.5,1.1,6.6,98,235,0.417,98,235,0.417,0.417,199,241,0.826,71,113,395
24,1950,PG,30,ROC,64,0.43,0.391,4.7,2.9,7.7,317,887,0.357,317,887,0.357,0.357,261,347,0.752,294,187,895
24,1951,PG,31,ROC,63,0.457,0.434,5.3,1.6,6.9,326,877,0.372,326,877,0.372,0.372,303,381,0.795,287,208,955
24,1952,PG,32,ROC,65,0.455,0.383,4.7,1.6,6.3,379,990,0.383,379,990,0.383,0.383,294,379,0.776,390,269,1052
24,1953,PG,33,ROC,66,0.474,0.53,5.2,2.2,7.4,339,880,0.385,339,880,0.385,0.385,351,466,0.753,280,261,1029
24,1954,PG,34,ROC,72,0.458,0.557,4.4,3.3,7.7,288,777,0.371,288,777,0.371,0.371,311,433,0.718,323,224,887
24,1955,PG,35,ROC,72,0.477,0.373,4,1.2,5.2,326,785,0.415,326,785,0.415,0.415,220,293,0.751,355,220,872
25,1950,F,26,WSC,22,0.278,0.4,-0.5,0.2,-0.4,10,55,0.182,10,55,0.182,0.182,16,22,0.727,5,19,36
26,1950,F-C,30,BOS,47,0.397,0.329,0.7,0.9,1.6,120,347,0.346,120,347,0.346,0.346,75,114,0.658,108,117,315
27,1950,G,23,NYK,45,0.393,0.385,0.3,0.7,1,90,275,0.327,90,275,0.327,0.327,73,106,0.689,38,107,253
28,1950,SF,27,TRI,64,0.405,0.287,1.6,2.1,3.7,332,906,0.366,332,906,0.366,0.366,162,260,0.623,142,254,826
28,1951,SF,28,TRI,68,0.408,0.312,0.9,2.9,3.8,398,1120,0.355,398,1120,0.355,0.355,244,349,0.699,170,231,1040
28,1952,SF,29,TOT,66,0.387,0.408,-1.5,1.4,-0.1,270,813,0.332,270,813,0.332,0.332,203,332,0.611,135,252,743
28,1952,SF,29,MLH,50,0.385,0.419,-1.4,1.2,-0.2,227,700,0.324,227,700,0.324,0.324,185,293,0.631,112,193,639
28,1952,SF,29,FTW,16,0.4,0.345,-0.1,0.2,0.1,43,113,0.381,43,113,0.381,0.381,18,39,0.462,23,59,104
28,1953,SF,30,FTW,69,0.389,0.345,-1.6,1.5,-0.1,241,687,0.351,241,687,0.351,0.351,133,237,0.561,104,220,615
29,1950,F-C,32,TOT,46,0.502,0.701,3.2,1,4.2,104,274,0.38,104,274,0.38,0.38,152,192,0.792,41,167,360
29,1950,F-C,32,BOS,24,0.503,0.716,1.8,0.5,2.3,55,148,0.372,55,148,0.372,0.372,86,106,0.811,17,97,196
29,1950,F-C,32,TRI,22,0.5,0.683,1.5,0.4,1.9,49,126,0.389,49,126,0.389,0.389,66,86,0.767,24,70,164
30,1950,G,24,INO,47,0.324,0.22,-0.8,0.5,-0.3,56,200,0.28,56,200,0.28,0.28,30,44,0.682,55,99,142
31,1950,F-G,27,TOT,54,0.364,0.376,-0.7,1.1,0.5,143,487,0.294,143,487,0.294,0.294,127,183,0.694,86,139,413
31,1950,F-G,27,BLB,38,0.374,0.376,-0.2,0.8,0.7,107,351,0.305,107,351,0.305,0.305,92,132,0.697,64,100,306
31,1950,F-G,27,BOS,16,0.338,0.375,-0.5,0.3,-0.2,36,136,0.265,36,136,0.265,0.265,35,51,0.686,22,39,107
32,1950,F-G,30,WSC,60,0.419,0.348,2.1,1.6,3.6,172,500,0.344,172,500,0.344,0.344,139,174,0.799,127,140,483
33,1950,F-G,24,MNL,63,0.383,0.275,0.2,2.3,2.6,132,396,0.333,132,396,0.333,0.333,76,109,0.697,95,147,340
33,1951,F-G,25,MNL,68,0.395,0.44,0.2,2.2,2.4,119,373,0.319,119,373,0.319,0.319,114,164,0.695,107,220,352
34,1950,SG,27,PHW,65,0.354,0.428,-0.5,2.1,1.6,102,353,0.289,102,353,0.289,0.289,93,151,0.616,118,129,297
34,1953,SG,30,PHW,33,0.406,0.462,0,0.6,0.6,100,303,0.33,100,303,0.33,0.33,96,140,0.686,108,118,296
35,1950,PF,28,PHW,68,0.346,0.348,-4.4,3.7,-0.8,336,1209,0.278,336,1209,0.278,0.278,293,421,0.696,56,240,965
35,1951,PF,29,PHW,66,0.398,0.325,-0.2,4.5,4.3,429,1358,0.316,429,1358,0.316,0.316,378,442,0.855,117,247,1236
35,1952,PF,30,PHW,61,0.381,0.281,-2.5,0.7,-1.8,336,1078,0.312,336,1078,0.312,0.312,250,303,0.825,123,255,922
35,1953,PF,31,PHW,70,0.392,0.241,-1.8,1.2,-0.6,332,960,0.346,332,960,0.346,0.346,168,231,0.727,138,319,832
35,1954,PF,32,PHW,61,0.299,0.214,-2.2,0.4,-1.8,61,229,0.266,61,229,0.266,0.266,28,49,0.571,28,90,150
36,1950,F-C,31,WAT,15,0.312,0.229,-0.2,-0.1,-0.3,9,35,0.257,9,35,0.257,0.257,6,8,0.75,7,28,24
37,1950,F-C,22,NYK,68,0.487,0.551,6.5,1.4,7.8,263,664,0.396,263,664,0.396,0.396,277,366,0.757,56,215,803
37,1951,F-C,23,NYK,66,0.491,0.502,5.9,1.7,7.6,293,705,0.416,293,705,0.416,0.416,259,354,0.732,180,244,845
37,1952,PF,24,NYK,66,0.547,0.647,7,1.9,8.9,233,527,0.442,233,527,0.442,0.442,275,341,0.806,115,223,741
37,1953,PF,25,NYK,70,0.525,0.677,6.9,4.4,11.3,282,635,0.444,282,635,0.444,0.444,301,430,0.7,126,224,865
37,1954,PF,26,NYK,72,0.538,0.864,9,2.8,11.8,258,639,0.404,258,639,0.404,0.404,433,552,0.784,153,208,949
37,1955,PF,27,NYK,72,0.491,0.562,5.1,3.3,8.3,330,859,0.384,330,859,0.384,0.384,393,483,0.814,176,206,1053
37,1956,SF,28,NYK,72,0.484,0.546,4,1.7,5.6,322,834,0.386,322,834,0.386,0.386,358,455,0.787,168,220,1002
37,1957,PF,29,NYK,72,0.516,0.635,6.4,1.6,8.1,332,817,0.406,332,817,0.406,0.406,415,519,0.8,85,202,1079
37,1958,PF,30,DET,72,0.48,0.555,4.2,1.9,6.1,340,898,0.379,340,898,0.379,0.379,392,498,0.787,86,217,1072
38,1950,SG,24,PHW,63,0.408,0.323,2.2,3.6,5.9,313,916,0.342,313,916,0.342,0.342,227,296,0.767,119,236,853
38,1951,SG,25,PHW,61,0.384,0.253,-0.3,1.9,1.6,129,383,0.337,129,383,0.337,0.337,69,97,0.711,89,149,327
38,1952,SG,26,PHW,27,0.389,0.119,-0.3,0.2,-0.1,72,194,0.371,72,194,0.371,0.371,15,23,0.652,37,60,159
39,1950,F,22,MNL,35,0.371,0.148,-0.1,0.6,0.5,42,115,0.365,42,115,0.365,0.365,7,17,0.412,19,36,91
39,1951,F,23,MNL,61,0.358,0.451,-0.5,1.1,0.6,53,184,0.288,53,184,0.288,0.288,52,83,0.627,71,106,158
40,1950,F-G,26,SHE,2,0.291,0.333,0,0,0,1,6,0.167,1,6,0.167,0.167,2,2,1,3,3,4
41,1950,C,23,INO,64,0.548,0.572,16.5,1.4,17.9,521,1090,0.478,521,1090,0.478,0.478,454,623,0.729,162,221,1496
41,1951,C,24,INO,66,0.552,0.541,14.7,3.3,18,492,1046,0.47,492,1046,0.47,0.47,445,566,0.786,156,237,1429
42,1950,C,30,WSC,68,0.454,0.616,2.4,1.2,3.6,108,284,0.38,108,284,0.38,0.38,112,175,0.64,89,136,328
43,1950,G-F,31,INO,64,0.444,0.464,4.1,1.1,5.1,217,614,0.353,217,614,0.353,0.353,223,285,0.782,226,143,657
43,1951,G-F,32,INO,26,0.324,0.17,-0.7,0.3,-0.4,40,135,0.296,40,135,0.296,0.296,14,23,0.609,42,30,94
44,1950,PF,26,SYR,64,0.423,0.381,2,3.2,5.1,177,488,0.363,177,488,0.363,0.363,128,186,0.688,129,264,482
44,1951,PF,27,SYR,63,0.406,0.399,0.4,1.3,1.7,182,494,0.368,182,494,0.368,0.368,107,197,0.543,119,271,471
44,1953,PF,29,ROC,68,0.413,0.369,0.1,1.5,1.6,129,360,0.358,129,360,0.358,0.358,88,133,0.662,81,258,346
44,1954,PF,30,ROC,72,0.393,0.326,-0.7,2.8,2.1,175,503,0.348,175,503,0.348,0.348,102,164,0.622,105,279,452
44,1955,PF,31,MLH,53,0.386,0.299,-0.9,1.4,0.5,126,358,0.352,126,358,0.352,0.352,61,107,0.57,105,206,313
44,1956,PF,32,STL,71,0.37,0.34,-1.6,2,0.4,146,453,0.322,146,453,0.322,0.322,93,154,0.604,157,271,385
45,1950,G-F,29,AND,60,0.479,0.504,4.8,3.6,8.4,223,550,0.405,223,550,0.405,0.405,197,277,0.711,102,170,643
45,1951,G-F,30,TOT,29,0.423,0.331,0.3,0.4,0.7,48,127,0.378,48,127,0.378,0.378,27,42,0.643,25,58,123
45,1951,G-F,30,FTW,14,0.438,0.364,0.2,0.2,0.4,25,66,0.379,25,66,0.379,0.379,17,24,0.708,9,25,67
45,1951,G-F,30,TRI,15,0.406,0.295,0.1,0.2,0.3,23,61,0.377,23,61,0.377,0.377,10,18,0.556,16,33,56
46,1950,F-C,22,FTW,62,0.423,0.48,2.1,3,5,168,465,0.361,168,465,0.361,0.361,140,223,0.628,129,190,476
46,1951,F-C,23,TOT,56,0.402,0.431,0.2,0.8,1,98,295,0.332,98,295,0.332,0.332,86,127,0.677,64,157,282
46,1951,F-C,23,FTW,12,0.312,0.351,-0.4,0.2,-0.2,13,57,0.228,13,57,0.228,0.228,15,20,0.75,8,19,41
46,1951,F-C,23,BOS,44,0.423,0.45,0.6,0.6,1.2,85,238,0.357,85,238,0.357,0.357,71,107,0.664,56,138,241
46,1952,PF,24,BOS,66,0.463,0.451,2.2,2.1,4.3,190,463,0.41,190,463,0.41,0.41,134,209,0.641,120,194,514
46,1953,SF,25,BOS,70,0.463,0.492,2,1.5,3.4,192,459,0.418,192,459,0.418,0.418,133,226,0.588,95,238,517
46,1954,SF,26,BOS,71,0.433,0.421,0.8,1.1,1.9,156,409,0.381,156,409,0.381,0.381,108,172,0.628,94,224,420
47,1950,G,22,MNL,66,0.394,0.213,0.7,2.7,3.5,125,348,0.359,125,348,0.359,0.359,50,74,0.676,131,175,300
47,1951,G,23,MNL,68,0.411,0.296,1,2.3,3.3,150,432,0.347,150,432,0.347,0.347,101,128,0.789,195,218,401
47,1952,SG,24,MNL,65,0.37,0.255,-1,3.2,2.2,156,487,0.32,156,487,0.32,0.32,89,124,0.718,188,203,401
47,1953,SG,25,MNL,70,0.421,0.319,0.6,2.2,2.9,195,518,0.376,195,518,0.376,0.376,107,165,0.648,160,264,497
47,1954,SG,26,TOT,64,0.368,0.352,-1.5,1.5,0,144,449,0.321,144,449,0.321,0.321,94,158,0.595,139,218,382
47,1954,G,26,MNL,40,0.365,0.392,-0.6,0.8,0.2,54,181,0.298,54,181,0.298,0.298,47,71,0.662,56,116,155
47,1954,SG,26,MLH,24,0.371,0.325,-0.9,0.6,-0.3,90,268,0.336,90,268,0.336,0.336,47,87,0.54,83,102,227
47,1955,PG,27,MLH,72,0.379,0.211,-2.6,2.2,-0.4,299,875,0.342,299,875,0.342,0.342,126,185,0.681,252,291,724
47,1956,PG,28,STL,72,0.391,0.201,-1.3,2.2,0.9,260,725,0.359,260,725,0.359,0.359,97,146,0.664,277,246,617
47,1958,SG,30,SYR,72,0.393,0.202,-0.6,1.5,0.9,210,604,0.348,210,604,0.348,0.348,97,122,0.795,169,200,517
48,1950,F,25,INO,39,0.343,0.313,-0.5,0.4,-0.1,55,195,0.282,55,195,0.282,0.282,42,61,0.689,51,87,152
49,1950,C,25,TOT,63,0.416,0.633,1,1.5,2.5,89,278,0.32,89,278,0.32,0.32,118,176,0.67,48,122,296
49,1950,C,25,FTW,44,0.405,0.598,0.6,1.3,1.9,65,209,0.311,65,209,0.311,0.311,84,125,0.672,39,99,214
49,1950,C,25,TRI,19,0.448,0.739,0.4,0.2,0.6,24,69,0.348,24,69,0.348,0.348,34,51,0.667,9,23,82
50,1950,C-F,26,CHS,67,0.377,0.402,-0.2,3.3,3,196,615,0.319,196,615,0.319,0.319,153,247,0.619,98,267,545
50,1953,C-F,29,TOT,10,0.166,0.161,-0.6,0.1,-0.5,4,31,0.129,4,31,0.129,0.129,3,5,0.6,4,18,11
50,1953,C-F,29,BOS,4,0.051,0.222,-0.3,0,-0.2,0,9,0,0,9,0,0,1,2,0.5,0,6,1
50,1953,C-F,29,INO,6,0.214,0.136,-0.4,0.1,-0.3,4,22,0.182,4,22,0.182,0.182,2,3,0.667,4,12,10
51,1950,G,27,BOS,68,0.365,0.221,-0.9,1.6,0.7,275,865,0.318,275,865,0.318,0.318,143,191,0.749,200,153,693
51,1951,G,28,BOS,65,0.412,0.415,1.4,1.1,2.5,206,651,0.316,206,651,0.316,0.316,223,270,0.826,244,156,635
52,1950,PG,29,ROC,68,0.388,0.336,0.9,1.7,2.5,206,625,0.33,206,625,0.33,0.33,144,210,0.686,200,67,556
52,1951,PG,30,ROC,68,0.388,0.319,-0.2,1,0.8,183,561,0.326,183,561,0.326,0.326,130,179,0.726,147,94,496
52,1952,PG,31,ROC,65,0.329,0.228,-2.1,0.6,-1.5,104,372,0.28,104,372,0.28,0.28,61,85,0.718,115,95,269
52,1953,PG,32,ROC,46,0.311,0.255,-1.2,0.4,-0.8,38,149,0.255,38,149,0.255,0.255,27,38,0.711,35,56,103
52,1954,PG,33,MLH,51,0.383,0.326,-0.5,0.5,0.1,74,224,0.33,74,224,0.33,0.33,48,73,0.658,75,73,196
53,1950,F,24,NYK,29,0.335,0.484,-0.2,0.3,0.1,19,64,0.297,19,64,0.297,0.297,14,31,0.452,20,53,52
53,1951,F,25,TOT,48,0.379,0.302,-0.2,0.7,0.5,79,235,0.336,79,235,0.336,0.336,44,71,0.62,70,118,202
53,1951,F,25,NYK,6,0.387,0.667,0,0,0,1,3,0.333,1,3,0.333,0.333,1,2,0.5,4,7,3
53,1951,F,25,BLB,42,0.379,0.297,-0.2,0.7,0.5,78,232,0.336,78,232,0.336,0.336,43,69,0.623,66,111,199
54,1950,F-G,29,MNL,61,0.362,0.332,-0.4,1.7,1.3,84,289,0.291,84,289,0.291,0.291,72,96,0.75,60,106,240
54,1951,F-G,30,MNL,63,0.363,0.359,-0.8,1.3,0.6,88,287,0.307,88,287,0.307,0.307,65,103,0.631,72,131,241
55,1950,G,32,BLB,37,0.467,0.899,1.9,0.7,2.6,42,148,0.284,42,148,0.284,0.284,109,133,0.82,93,82,193
56,1950,SF,29,ROC,68,0.493,0.782,4.8,2.4,7.2,149,376,0.396,149,376,0.396,0.396,200,294,0.68,141,260,498
56,1951,SF,30,ROC,68,0.564,0.921,7.5,1.7,9.1,185,403,0.459,185,403,0.459,0.459,269,371,0.725,175,290,639
56,1952,SF,31,ROC,66,0.565,0.942,7.1,1.6,8.7,178,411,0.433,178,411,0.433,0.433,301,387,0.778,182,259,657
