id,Player,height,weight,college,born,birth_city,birth_state
133,Murray Wier,175,70,University of Iowa,1926,Grand View,Iowa
134,Max Zaslofsky,188,77,St. John's University,1925,Brooklyn,New York
135,Paul Arizin*,193,86,Villanova University,1928,Philadelphia,Pennsylvania
136,Ike Borsavage,203,99,Temple University,1924,Plymouth,Pennsylvania
137,Gerry Calabrese,185,79,St. John's University,1925,Hoboken,New Jersey
138,Nat Clifton*,198,99,Xavier University of Louisiana,1922,Little Rock,Arkansas
139,Bob Cousy*,185,79,College of the Holy Cross,1928,New York,New York
140,Ray Ellefson,203,104,West Texas A&M University,1922,Brookings,South Dakota
141,Larry Foust,206,97,La Salle University,1928,Painesville,Ohio
142,Don Lofgran,196,90,University of San Francisco,1928,Oakland,California
143,Tommy O'Keefe,188,83,Georgetown University,1928,Jersey City,New Jersey
144,Kevin O'Shea,188,79,University of Notre Dame,1925,San Francisco,California
145,Don Rehfeldt,201,95,University of Wisconsin,1927,Chicago,Illinois
146,Alan Sawyer,196,88,"University of California, Los Angeles",1928,Long Beach,California
147,Dick Schnittker,196,90,Ohio State University,1928,Kelleys Island,Ohio
148,Bill Sharman*,185,79,University of Southern California,1926,Abilene,Texas
149,Don Barksdale*,198,90,"University of California, Los Angeles",1923,Oakland,California
150,Elmer Behnke,201,95,Bradley University,1929,Rockford,Illinois
151,Dick Dickey,185,79,North Carolina State University,1926,Grant County,Indiana
152,Lew Hitch,203,90,Kansas State University,1929,Griggsville,Illinois
153,Mel Hutchins,198,90,Brigham Young University,1928,Sacramento,California
154,Neil Johnston*,203,95,Ohio State University,1929,Chillicothe,Ohio
155,George King,183,79,University of Charleston,1928,Charleston,West Virginia
156,John McConathy,196,88,Northwestern State University,1930,Sailes,Louisiana
157,Alfred McGuire*,188,81,St. John's University,1928,New York,New York
158,Ralph O'Brien,175,72,Butler University,1928,Henshaw,Kentucky
159,John Pilch,190,83,University of Wyoming,1925,Sheridan,Wyoming
160,Sam Ranzino,185,83,North Carolina State University,1927,Gary,Indiana
161,Whitey Skoog,180,81,University of Minnesota,1926,Duluth,Minnesota
162,Jim Baechtold,193,92,Eastern Kentucky University,1927,McKeesport,Pennsylvania
163,Jim Brasco,185,77,New York University,1931,Brooklyn,New York
164,Dick Bunt,183,77,New York University,1930,Queens,New York
165,Gene Conley,203,102,Washington State University,1930,Muskogee,Oklahoma
166,Dick Groat,180,81,Duke University,1930,Wilkinsburg,Pennsylvania
167,Jack McCloskey,188,86,University of Pennsylvania,1925,Mahanoy City,Pennsylvania
168,Monk Meineke,201,94,University of Dayton,1930,Dayton,Ohio
169,Bill Mlkvy,193,86,Temple University,1931,Palmerton,Pennsylvania
170,Mark Workman,206,97,West Virginia University,1930,Charleston,West Virginia
171,Zeke Zawoluk,201,97,St. John's University,1930,Brooklyn,New York
172,Don Ackerman,183,83,Long Island University,1930,New York,New York
173,Don Asmonga,188,83,Alliance College,1928,West Mifflin,Pennsylvania
174,Ernie Barrett,190,81,Kansas State University,1929,Pratt,Kansas
175,Ernie Beck,193,86,University of Pennsylvania,1931,Philadelphia,Pennsylvania
176,Walt Davis,203,92,Texas A&M University,1931,Beaumont,Texas
177,Ray Felix,211,99,Long Island University,1930,New York,New York
178,Jack George,188,86,La Salle University,1928,Swissvale,Pennsylvania
179,Norm Grekin,196,81,La Salle University,1930,Philadelphia,Pennsylvania
180,Bob Houbregs*,201,95,University of Washington,1932,Vancouver,Canada
181,Billy Kenville,188,84,St. Bonaventure University,1930,Elmhurst,New York
182,Dick Knostman,198,97,Kansas State University,1931,Wamego,Kansas
183,Clyde Lovellette*,206,106,University of Kansas,1929,Petersburg,Indiana
184,Jack Molinas,198,90,Columbia University,1931,New York,New York
185,Bob Peterson,196,95,University of Oregon,1932,San Mateo,California
186,James Phelan,196,88,DePaul University,1925,Chicago,Illinois
187,Ed Smith,198,81,Harvard University,1929,West Jefferson,Ohio
188,Don Sunderlage,185,81,University of Illinois at Urbana-Champaign,1929,Roselle,Illinois
189,Norm Swanson,198,95,University of Detroit Mercy,1930,Chicago,Illinois
190,George Yardley*,196,86,Stanford University,1928,Hollywood,California
191,Larry Costello,185,84,Niagara University,1931,Minoa,New York
192,George Dempsey,188,86,King's College,1929,Philadelphia,Pennsylvania
193,Chuck Grigsby,196,86,University of Dayton,1928,Dayton,Ohio
194,Herm Hedderick,196,77,Canisius College,1930,Erie,Pennsylvania
195,Mike Kearns,188,80,Princeton University,1929,Trenton,New Jersey
196,Red Kerr,206,104,University of Illinois at Urbana-Champaign,1932,Chicago,Illinois
197,Jackie Moore,196,81,La Salle University,1932,Philadelphia,Pennsylvania
198,Togo Palazzi,193,92,College of the Holy Cross,1932,Union City,New Jersey
199,Bob Pettit*,206,92,Louisiana State University,1932,Baton Rouge,Louisiana
200,Frank Ramsey*,190,86,University of Kentucky,1931,Corydon,Kentucky
201,Frank Selvy,190,81,Furman University,1932,Corbin,Kentucky
202,Gene Shue,188,77,University of Maryland,1931,Baltimore,Maryland
203,Jim Tucker,201,83,Duquesne University,1932,Paris,Kentucky
204,Jack Turner,193,77,Western Kentucky University,1930,Bedford,Indiana
205,Bobby Watson,183,72,University of Kentucky,1930,Central City,Kentucky
206,Jesse Arnelle,196,99,Pennsylvania State University,1933,New Rochelle,New York
207,Dick Atha,188,86,Indiana State University,1931,Otterbein,Indiana
208,Walter Dukes,213,99,Seton Hall University,1930,Rochester,New York
209,Al Ferrari,193,86,Michigan State University,1933,New York,New York
210,Dick Garmaker,190,90,University of Minnesota,1932,Hibbing,Minnesota
211,Tom Gola*,198,92,La Salle University,1933,Philadelphia,Pennsylvania
212,Chris Harris,190,86,University of Dayton,1933,Southampton,United Kingdom
213,Dick Hemric,198,99,Wake Forest University,1933,Jonesville,North Carolina
214,Jim Loscutoff,196,99,University of Oregon,1930,San Francisco,California
215,Chuck Mencel,183,76,University of Minnesota,1933,Phillips,Wisconsin
216,Med Park,188,92,University of Missouri,1933,Britton,South Dakota
217,Richie Regan,188,81,Seton Hall University,1930,Newark,New Jersey
218,Dick Ricketts,201,97,Duquesne University,1933,Pottstown,Pennsylvania
219,Bob Santini,196,86,Iona College,1935,Bronx,New York
220,Kenny Sears,206,89,Santa Clara University,1933,Watsonville,California
221,Maurice Stokes*,201,105,Saint Francis University,1933,Pittsburgh,Pennsylvania
222,Jack Twyman*,198,95,University of Cincinnati,1934,Pittsburgh,Pennsylvania
223,Bob Armstrong,203,99,Michigan State University,1933,Detroit,Michigan
224,Gary Bergen,203,95,University of Utah,1932,Independence,Missouri
225,Al Bianchi,190,83,Bowling Green State University,1932,Long Island City,New York
226,Bob Burrow,201,103,University of Kentucky,1934,Malvern,Arkansas
227,Si Green,188,83,Duquesne University,1933,New York,New York
228,Richie Guerin*,193,88,Iona College,1932,New York,New York
229,Cliff Hagan*,193,95,University of Kentucky,1931,Owensboro,Kentucky
230,Tom Heinsohn*,201,98,College of the Holy Cross,1934,Union City,New Jersey
231,Bob Hopkins,203,92,Grambling State University,1934,Jonesboro,Louisiana
232,Phil Jordon,208,92,Whitworth,1933,Lakeport,California
233,Hal Lear,183,73,Temple University,1935,Philadelphia,Pennsylvania
234,Slick Leonard*,190,83,Indiana University,1932,Terre Haute,Indiana
235,Willie Naulls,198,102,"University of California, Los Angeles",1934,Dallas,Texas
236,Jim Paxson,198,90,University of Dayton,1932,Pennville,Indiana
237,Bill Russell*,208,97,University of San Francisco,1934,Monroe,Louisiana
238,Ron Shavlik,203,90,North Carolina State University,1933,Denver,Colorado
239,Ron Sobie,190,83,DePaul University,1934,Chicago,Illinois
240,Norm Stewart,196,92,University of Missouri,1935,Leonard,Missouri
241,Lou Tsioropoulos,196,86,University of Kentucky,1930,Lynn,Massachusetts
242,Bo Erias,190,99,Niagara University,1932,Astoria,New York
243,Larry Friend,193,83,University of California,1935,Chicago,Illinois
244,Sam Jones*,193,89,North Carolina Central University,1933,Wilmington,North Carolina
245,Jim Krebs,203,104,Southern Methodist University,1935,Webster Groves,Missouri
246,Brendan McCann,188,80,St. Bonaventure University,1935,Brooklyn,New York
247,Worthy Patterson,188,79,University of Connecticut,1931,New Haven,Connecticut
248,Lennie Rosenbluth,193,86,University of North Carolina,1933,New York,New York
249,Woody Sauldsberry,201,99,Texas Southern University,1934,Winnsboro,Louisiana
250,Guy Sparrow,198,98,University of Detroit Mercy,1932,Pontiac,Michigan
251,Charlie Tyra,203,104,University of Louisville,1935,Louisville,Kentucky
252,Jim Walsh,193,88,Stanford University,1930,San Francisco,California
253,Elgin Baylor*,196,102,Seattle University,1934,Washington,District of Columbia
254,Jerry Bird,198,95,University of Kentucky,1935,Corbin,Kentucky
255,Bucky Bockhorn,193,90,University of Dayton,1933,Campbell Hill,Illinois
256,Pete Brennan,198,92,University of North Carolina,1936,Brooklyn,New York
257,Archie Dees,203,92,Indiana University,1936,Ethel,Mississippi
258,Connie Dierking,206,100,University of Cincinnati,1936,Brooklyn,New York
259,Wayne Embry*,203,108,Miami University,1937,Springfield,Ohio
260,Mike Farmer,201,95,University of San Francisco,1936,Oklahoma City,Oklahoma
261,Dave Gambee,198,97,Oregon State University,1937,Portland,Oregon
262,Hal Greer*,188,79,Marshall University,1936,Huntington,West Virginia
263,Steve Hamilton,198,86,Morehead State University,1935,Columbia,Kentucky
264,Vern Hatton,190,88,University of Kentucky,1936,Owingsville,Kentucky
265,Andy Johnson,196,97,University of Portland,1932,Los Angeles,California
266,Tommy Kearns,180,83,University of North Carolina,1936,New York,New York
267,Jim Palmer,203,101,University of Dayton,1933,Keokee,Virginia
268,Jack Parr,206,99,Kansas State University,1936,Louisville,Kentucky
269,Hub Reed,206,97,Oklahoma City University,1936,Harrah,Oklahoma
270,Guy Rodgers*,183,83,Temple University,1935,Philadelphia,Pennsylvania
271,Phil Rollins,188,83,University of Louisville,1934,Wickliffe,Kentucky
272,Bob Anderegg,190,90,Michigan State University,1937,Monroe,Wisconsin
273,Dick Barnett,193,86,Tennessee State University,1936,Gary,Indiana
274,Whitey Bell,183,81,North Carolina State University,1932,Monticello,Kentucky
275,Wilt Chamberlain*,216,124,University of Kansas,1936,Philadelphia,Pennsylvania
276,Bob Ferry,203,104,Saint Louis University,1937,St. Louis,Missouri
277,Johnny Green,196,90,Michigan State University,1933,Dayton,Ohio
278,Gene Guarilia,196,99,George Washington University,1937,Duryea,Pennsylvania
279,Tom Hawkins,196,95,University of Notre Dame,1936,Chicago,Illinois
280,Bailey Howell*,201,95,Mississippi State University,1937,Middleton,Tennessee
281,Rudy LaRusso,201,99,Dartmouth College,1937,Brooklyn,New York
282,Cal Ramsey,193,90,New York University,1937,Selma,Alabama
283,Joe Ruklick,206,99,Northwestern University,1938,Princeton,Illinois
284,Al Attles,183,79,North Carolina Agricultural and Technical State University,1936,Newark,New Jersey
285,Bob Boozer,203,97,Kansas State University,1937,Omaha,Nebraska
286,Dave Budd,198,92,Wake Forest University,1938,Woodbury,New Jersey
287,Ralph Davis,193,81,University of Cincinnati,1938,Vanceburg,Kentucky
288,Darrall Imhoff,208,99,University of California,1938,San Gabriel,California
289,Pickles Kennedy,180,81,Temple University,1938,Philadelphia,Pennsylvania
290,Bob McNeill,185,77,Saint Joseph's University,1938,Philadelphia,Pennsylvania
291,Jackie Moreland,201,97,Louisiana Tech University,1938,Minden,Louisiana
292,Don Ohl,190,86,University of Illinois at Urbana-Champaign,1936,Murphysboro,Illinois
293,Oscar Robertson*,196,92,University of Cincinnati,1938,Charlotte,Tennessee
294,Tom Sanders*,198,95,New York University,1938,New York,New York
295,Jerry West*,188,79,West Virginia University,1938,Chelyan,West Virginia
296,Lenny Wilkens*,185,81,Providence College,1937,Brooklyn,New York
297,Walt Bellamy*,211,102,Indiana University,1939,New Bern,North Carolina
298,George Blaney,185,79,College of the Holy Cross,1939,Jersey City,New Jersey
299,Cleveland Buckner,206,95,Jackson State University,1938,Yazoo City,Mississippi
300,Donnie Butcher,188,90,Pikeville College,1936,Williamsport,Kentucky
301,Al Butler,188,79,Niagara University,1938,Rochester,New York
302,Howie Carl,175,72,DePaul University,1938,Chicago,Illinois
303,Jimmy Darrow,178,77,Bowling Green State University,1937,Akron,Ohio
304,Johnny Egan,180,81,Providence College,1939,Hartford,Connecticut
305,Cleo Hill,185,83,Winston-Salem State University,1938,Newark,New Jersey
306,Ron Horn,201,99,Indiana University,1938,Marion,Indiana
307,York Larese,193,83,University of North Carolina,1938,New York,New York
308,Tom Meschery,198,97,Saint Mary's College of California,1938,Harbin Manchuria,China
309,Bevo Nordmann,208,102,Saint Louis University,1939,St. Louis,Missouri
310,Gary Phillips,190,85,University of Houston,1939,Quincy,Illinois
311,Ray Scott,206,97,University of Portland,1938,Philadelphia,Pennsylvania
312,Lee Shaffer,201,99,University of North Carolina,1939,Chicago,Illinois
313,Adrian Smith,185,81,University of Kentucky,1936,Farmington,Kentucky
314,Sam Stith,188,83,St. Bonaventure University,1937,Greenville County,Virginia
315,Horace Walker,190,95,Michigan State University,1937,Chester,Pennsylvania
316,John Barnhill,185,81,Tennessee State University,1938,Sturgis,Kentucky
317,Zelmo Beaty*,206,102,Prairie View A&M University,1939,Hillister,Texas
318,Bill Bridges,198,103,University of Kansas,1939,Hobbs,New Mexico
319,Len Chappell,203,108,Wake Forest University,1941,Portage,Pennsylvania
320,Johnny Cox,193,81,University of Kentucky,1936,Neon,Kentucky
321,Dave DeBusschere*,198,99,University of Detroit Mercy,1940,Detroit,Michigan
322,Terry Dischinger,201,85,Purdue University,1940,Terre Haute,Indiana
323,Danny Doyle,203,90,Belmont Abbey College,1940,Long Island City,New York
324,Leroy Ellis,208,95,St. John's University,1940,Far Rockaway,New York
325,Jack Foley,190,77,College of the Holy Cross,1939,Worcester,Massachusetts
326,Charlie Hardnett,203,102,Grambling State University,1938,Atlanta,Georgia
327,John Havlicek*,196,92,Ohio State University,1940,Martins Ferry,Ohio
328,Wayne Hightower,203,87,University of Kansas,1940,Philadelphia,Pennsylvania
329,Kevin Loughery,190,86,St. John's University,1940,Brooklyn,New York
330,Bill McGill,206,102,University of Utah,1939,San Angelo,Texas
331,Don Nelson*,198,95,University of Iowa,1940,Muskegon,Michigan
332,John Rudometkin,198,92,University of Southern California,1940,Santa Maria,California
333,Tom Stith,196,95,St. Bonaventure University,1939,Greenville County,Virginia
334,Dan Swartz,193,97,Morehead State University,1934,Owingsville,Kentucky
335,Dan Tieman,183,83,Thomas More College,1940,Covington,Kentucky
336,Chico Vaughn,188,86,Southern Illinois University,1940,Portland,Oregon
337,Chet Walker*,198,96,Bradley University,1940,Bethlehem,Mississippi
338,Ben Warley,196,90,Tennessee State University,1936,Washington,District of Columbia
339,Jay Arnette,188,79,University of Texas at Austin,1938,Austin,Texas
340,Mel Gibson,190,81,Western Carolina University,1940,Cordova,North Carolina
341,Jerry Harkness,188,79,Loyola University of Chicago,1940,New York,New York
342,Art Heyman,196,92,Duke University,1941,New York,New York
343,Tom Hoover,206,104,Villanova University,1941,Washington,District of Columbia
344,Gus Johnson*,198,104,University of Idaho,1938,Akron,Ohio
345,Jim King,188,79,University of Tulsa,1941,Tulsa,Oklahoma
346,Don Kojis,196,97,Marquette University,1939,Milwaukee,Wisconsin
347,Jerry Lucas*,203,104,Ohio State University,1940,Middletown,Ohio
348,Eddie Miles,193,88,Seattle University,1940,North Little Rock,Arkansas
349,Mel Peterson,193,83,Wheaton College,1938,Thief River Falls,Minnesota
350,Larry Siegfried,190,86,Ohio State University,1939,Shelby,Ohio
351,Roger Strickland,196,90,Jacksonville University,1940,Jacksonville,Florida
352,Tom Thacker,188,77,University of Cincinnati,1939,Covington,Kentucky
353,Rod Thorn,193,88,West Virginia University,1941,Princeton,West Virginia
354,Nate Thurmond*,211,102,Bowling Green State University,1941,Akron,Ohio
355,Jim Barnes,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas
356,Ron Bonham,196,87,University of Cincinnati,1942,Muncie,Indiana
357,Gary Bradds,203,95,Ohio State University,1942,Jamestown,Ohio
358,Em Bryant,185,79,DePaul University,1938,Chicago,Illinois
359,Joe Caldwell,196,88,Arizona State University,1941,Texas City,Texas
360,Mel Counts,213,104,Oregon State University,1941,Coos Bay,Oregon
361,Happy Hairston,201,102,New York University,1942,Winston-Salem,North Carolina
362,Les Hunter,201,95,Loyola University of Chicago,1942,Nashville,Tennessee
363,Luke Jackson,206,108,University of Texas-Pan American,1941,San Marcos,Texas
364,Larry Jones,188,81,University of Toledo,1942,Columbus,Ohio
365,Wali Jones,193,102,University of Kentucky,1926,Harlan,Kentucky
366,Howard Komives,185,83,Bowling Green State University,1941,Toledo,Ohio
367,Bud Koper,198,95,Oklahoma City University,1942,Rocky,Oklahoma
368,Barry Kramer,193,90,New York University,1942,Schenectady,New York
369,McCoy McLemore,201,104,Drake University,1942,Houston,Texas
370,Jeff Mullins,193,86,Duke University,1942,Astoria,New York
371,Cotton Nash,196,97,University of Kentucky,1942,Jersey City,New Jersey
372,Willis Reed*,206,106,Grambling State University,1942,Hico,Louisiana
373,Paul Silas,201,99,Creighton University,1943,Prescott,Arkansas
374,John Thompson*,208,102,Providence College,1941,Washington,District of Columbia
375,George Wilson,203,102,University of Cincinnati,1942,Meridian,Mississippi
376,Rick Barry*,201,92,University of Miami,1944,Elizabeth,New Jersey
377,Jesse Branson,201,88,Elon University,1942,Burlington,North Carolina
378,Bill Buntin,201,113,University of Michigan,1942,Detroit,Michigan
379,Barry Clemens,198,95,Ohio Wesleyan University,1943,Dayton,Ohio
380,Billy Cunningham*,198,95,University of North Carolina,1943,Brooklyn,New York
381,Keith Erickson,196,88,"University of California, Los Angeles",1944,San Francisco,California
382,John Fairchild,203,92,Brigham Young University,1943,Encinitas,California
383,Will Frazier,201,95,Grambling State University,1942,Minden,Louisiana
384,Gail Goodrich*,185,77,"University of California, Los Angeles",1943,Los Angeles,California
385,Fred Hetzel,203,99,Davidson College,1942,Washington,District of Columbia
386,Jon McGlocklin,196,92,Indiana University,1943,Franklin,Indiana
387,Thales McReynolds,190,83,Miles College,1943,Birmingham,Alabama
388,Ron Reed,196,92,University of Notre Dame,1942,La Porte,Indiana
389,Jerry Sloan*,196,88,University of Evansville,1942,McLeansboro,Illinois
390,Willie Somerset,173,77,Duquesne University,1942,Sharon,Pennsylvania
